date,births,deaths,pct_deaths
1841-01-01,254,37,14.566929133858267
1841-02-01,239,18,7.531380753138076
1841-03-01,277,12,4.332129963898916
1841-04-01,255,4,1.5686274509803921
1841-05-01,255,2,0.7843137254901961
1841-06-01,200,10,5.0
1841-07-01,190,16,8.421052631578947
1841-08-01,222,3,1.3513513513513513
1841-09-01,213,4,1.8779342723004695
1841-10-01,236,26,11.016949152542372
1841-11-01,235,53,22.5531914893617
1842-01-01,307,64,20.846905537459286
1842-02-01,311,38,12.218649517684888
1842-03-01,264,27,10.227272727272728
1842-04-01,242,26,10.743801652892563
1842-05-01,310,10,3.225806451612903
1842-06-01,273,18,6.593406593406594
1842-07-01,231,48,20.77922077922078
1842-08-01,216,55,25.462962962962965
1842-09-01,223,41,18.385650224215247
1842-10-01,242,71,29.338842975206614
1842-11-01,209,48,22.966507177033492
1842-12-01,239,75,31.380753138075313
1843-01-01,272,52,19.11764705882353
1843-02-01,263,42,15.96958174904943
1843-03-01,266,33,12.406015037593985
1843-04-01,285,34,11.929824561403509
1843-05-01,246,15,6.097560975609756
1843-06-01,196,8,4.081632653061225
1843-07-01,191,1,0.5235602094240838
1843-08-01,193,3,1.5544041450777202
1843-09-01,221,5,2.262443438914027
1843-10-01,250,44,17.599999999999998
1843-11-01,252,18,7.142857142857142
1843-12-01,236,19,8.050847457627118
1844-01-01,244,37,15.163934426229508
1844-02-01,257,29,11.284046692607005
1844-03-01,276,47,17.02898550724638
1844-04-01,208,36,17.307692307692307
1844-05-01,240,14,5.833333333333333
1844-06-01,224,6,2.6785714285714284
1844-07-01,206,9,4.368932038834951
1844-08-01,269,17,6.319702602230483
1844-09-01,245,3,1.2244897959183674
1844-10-01,248,8,3.225806451612903
1844-11-01,245,27,11.020408163265307
1844-12-01,256,27,10.546875
1845-01-01,303,23,7.590759075907591
1845-02-01,274,13,4.744525547445255
1845-03-01,292,13,4.4520547945205475
1845-04-01,260,11,4.230769230769231
1845-05-01,296,13,4.391891891891892
1845-06-01,280,20,7.142857142857142
1845-07-01,245,15,6.122448979591836
1845-08-01,251,9,3.5856573705179287
1845-09-01,237,25,10.548523206751055
1845-10-01,283,42,14.840989399293287
1845-11-01,265,29,10.943396226415095
1845-12-01,267,28,10.486891385767791
1846-01-01,336,45,13.392857142857142
1846-02-01,293,53,18.088737201365188
1846-03-01,311,48,15.434083601286176
1846-04-01,253,48,18.972332015810274
1846-05-01,305,41,13.442622950819672
1846-06-01,266,27,10.150375939849624
1846-07-01,252,33,13.095238095238097
1846-08-01,216,39,18.055555555555554
1846-09-01,271,39,14.391143911439114
1846-10-01,254,38,14.960629921259844
1846-11-01,297,32,10.774410774410773
1846-12-01,298,16,5.369127516778524
1847-01-01,311,10,3.215434083601286
1847-02-01,312,6,1.9230769230769231
1847-03-01,305,11,3.606557377049181
1847-04-01,312,57,18.269230769230766
1847-05-01,294,36,12.244897959183673
1847-06-01,268,6,2.2388059701492535
1847-07-01,250,3,1.2
1847-08-01,264,5,1.893939393939394
1847-09-01,262,12,4.580152671755725
1847-10-01,278,11,3.9568345323741005
1847-11-01,246,11,4.471544715447155
1847-12-01,273,8,2.93040293040293
1848-01-01,283,10,3.53356890459364
1848-02-01,291,2,0.6872852233676976
1848-03-01,276,0,0.0
1848-04-01,305,2,0.6557377049180327
1848-05-01,313,3,0.9584664536741214
1848-06-01,264,3,1.1363636363636365
1848-07-01,269,1,0.37174721189591076
1848-08-01,261,0,0.0
1848-09-01,312,3,0.9615384615384616
1848-10-01,299,7,2.341137123745819
1848-11-01,310,9,2.903225806451613
1848-12-01,373,5,1.3404825737265416
1849-01-01,403,9,2.2332506203473943
1849-02-01,389,12,3.0848329048843186
1849-03-01,406,20,4.926108374384237
